,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
0,0.0,16.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.04324100911617279,0.04324101656675339,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,84.5137960910797,16_C_8,16_C_0_1_0_2_0_300_10,19.0,5.0,1.0,0.0,Network 1,Min
1,1.0,16.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.042904797941446304,0.0429048165678978,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,61.84245681762695,16_C_32,16_C_0_1_0_2_0_300_10,11.0,5.0,1.0,0.0,Network 1,Min
2,2.0,16.0,C,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.03877926990389824,0.03877926990389824,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,128.5656292438507,16_C_64,16_C_0_1_0_2_0_300_10,15.0,5.0,1.0,0.0,Network 1,Min
5,5.0,16.0,C,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.03505028784275055,0.03505028411746025,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,103.2121114730835,16_C_64,16_C_0_1_0_3_0_300_10,12.0,8.0,1.0,0.0,Network 1,Min
4,4.0,16.0,C,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.006379652302712202,0.006379650440067053,0.998770236968994,0.9318181872367859,1.0,820.0,47910.0,60.0,0.0,24392.0,95.58846044540405,16_C_32,16_C_0_1_0_3_0_300_10,17.0,8.0,1.0,0.9647058852568632,Network 1,Max
0,0.0,16.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.029276793822646138,0.029276790097355843,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,173.26924991607666,16_F_8,16_F_0_1_0_2_0_300_10,38.0,4.0,1.0,0.0,Network 2,Min
1,1.0,16.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.04202943667769432,0.04202940687537193,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,100.83764481544495,16_F_32,16_F_0_1_0_2_0_300_10,18.0,4.0,1.0,0.0,Network 2,Min
2,2.0,16.0,F,0.0,1.0,0.0,2.0,0.0,300.0,10.0,0.0416405200958252,0.041640590876340866,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,205.6243362426757,16_F_64,16_F_0_1_0_2_0_300_10,24.0,4.0,1.0,0.0,Network 2,Min
4,4.0,16.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.01857906207442284,0.01857906579971313,0.9831932783126832,0.0,0.0,0.0,47970.0,0.0,820.0,24392.0,106.11438417434692,16_F_32,16_F_0_1_0_3_0_300_10,19.0,6.0,1.0,0.0,Network 2,Min
5,5.0,16.0,F,0.0,1.0,0.0,3.0,0.0,300.0,10.0,0.01428840309381485,0.0142884012311697,0.9817585349082948,0.4795321524143219,1.0,820.0,47080.0,890.0,0.0,24392.0,163.03906035423282,16_F_64,16_F_0_1_0_3_0_300_10,19.0,6.0,1.0,0.6482213335233228,Network 2,Max
