,Unnamed: 0,phase,letter,model_group,datastream_scheme,location_scheme,ds_combo,l_combo,input_days,output_days,loss,mse,binary_accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,inputs,outputs,f1,network,Max_or_Min
0,0,25,A,0,0,0,0,0,300,10,0.02022875100374221,0.020228756591677662,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,31.44523024559021,25_A_8,25_A_0_0_0_0_0_300_10,21,18,1,0.0,Network 1,Min
1,1,25,A,0,0,0,0,0,300,10,0.02075221762061119,0.0207522101700306,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,35.41346764564514,25_A_32,25_A_0_0_0_0_0_300_10,19,18,1,0.0,Network 1,Min
2,2,25,A,0,0,0,0,0,300,10,0.018353912979364395,0.018353907391428947,0.984654426574707,0.0,0.0,0.0,15528.0,2.0,240.0,7885,73.48853015899658,25_A_64,25_A_0_0_0_0_0_300_10,26,18,1,0.0,Network 1,Min
0,0,25,A,0,0,0,0,0,300,10,0.02022875100374221,0.020228756591677662,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,31.44523024559021,25_A_8,25_A_0_0_0_0_0_300_10,21,18,1,0.0,Network 1,Max
1,1,25,A,0,0,0,0,0,300,10,0.02075221762061119,0.0207522101700306,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,35.41346764564514,25_A_32,25_A_0_0_0_0_0_300_10,19,18,1,0.0,Network 1,Max
2,2,25,A,0,0,0,0,0,300,10,0.018353912979364395,0.018353907391428947,0.984654426574707,0.0,0.0,0.0,15528.0,2.0,240.0,7885,73.48853015899658,25_A_64,25_A_0_0_0_0_0_300_10,26,18,1,0.0,Network 1,Max
0,0,25,G,0,0,0,0,0,300,10,0.021822864189744,0.0218228716403246,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,40.54203176498413,25_G_8,25_G_0_0_0_0_0_300_10,27,14,1,0.0,Network 2,Min
1,1,25,G,0,0,0,0,0,300,10,0.030692562460899363,0.030692555010318763,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,42.540280103683465,25_G_32,25_G_0_0_0_0_0_300_10,23,14,1,0.0,Network 2,Min
2,2,25,G,0,0,0,0,0,300,10,0.035395797342062,0.035395801067352295,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,31.12280821800232,25_G_64,25_G_0_0_0_0_0_300_10,11,14,1,0.0,Network 2,Min
0,0,25,G,0,0,0,0,0,300,10,0.021822864189744,0.0218228716403246,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,40.54203176498413,25_G_8,25_G_0_0_0_0_0_300_10,27,14,1,0.0,Network 2,Max
1,1,25,G,0,0,0,0,0,300,10,0.030692562460899363,0.030692555010318763,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,42.540280103683465,25_G_32,25_G_0_0_0_0_0_300_10,23,14,1,0.0,Network 2,Max
2,2,25,G,0,0,0,0,0,300,10,0.035395797342062,0.035395801067352295,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,31.12280821800232,25_G_64,25_G_0_0_0_0_0_300_10,11,14,1,0.0,Network 2,Max
1,1,25,T,0,0,0,0,0,300,10,0.023745389655232436,0.02374539524316788,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,35.3601815700531,25_T_32,25_T_0_0_0_0_0_300_10,19,14,1,0.0,Network 3,Min
0,0,25,T,0,0,0,0,0,300,10,0.027380513027310368,0.027380511164665226,0.9896004796028136,1.0,0.3166666626930237,76.0,15530.0,0.0,164.0,7885,37.530118465423584,25_T_8,25_T_0_0_0_0_0_300_10,25,14,1,0.4810126536436101,Network 3,Max
0,0,25,AD,0,0,0,0,0,300,10,0.034595340490341187,0.03459533676505089,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,42.41675162315369,25_AD_8,25_AD_0_0_0_0_0_300_10,28,13,1,0.0,Network 4,Min
1,1,25,AD,0,0,0,0,0,300,10,0.028800308704376217,0.028800306841731068,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,62.52139234542847,25_AD_32,25_AD_0_0_0_0_0_300_10,34,13,1,0.0,Network 4,Min
2,2,25,AD,0,0,0,0,0,300,10,0.024826481938362118,0.02482648566365242,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,50.873345375061035,25_AD_64,25_AD_0_0_0_0_0_300_10,18,13,1,0.0,Network 4,Min
0,0,25,AD,0,0,0,0,0,300,10,0.034595340490341187,0.03459533676505089,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,42.41675162315369,25_AD_8,25_AD_0_0_0_0_0_300_10,28,13,1,0.0,Network 4,Max
1,1,25,AD,0,0,0,0,0,300,10,0.028800308704376217,0.028800306841731068,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,62.52139234542847,25_AD_32,25_AD_0_0_0_0_0_300_10,34,13,1,0.0,Network 4,Max
2,2,25,AD,0,0,0,0,0,300,10,0.024826481938362118,0.02482648566365242,0.9847812056541444,0.0,0.0,0.0,15530.0,0.0,240.0,7885,50.873345375061035,25_AD_64,25_AD_0_0_0_0_0_300_10,18,13,1,0.0,Network 4,Max
