,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
2,C,30,10,2_C_64,0.08827303282116498,0.20157815544975444,Min
1,C,30,10,2_C_32,0.2977412763968083,0.20157815544975444,Max
0,F,30,10,2_F_8,0.3145809398136626,0.3178788406291599,Min
1,F,30,10,2_F_32,0.32015065578143603,0.3178788406291599,Max
1,A,30,10,2_A_32,0.7327971208413346,0.8429069303493519,Min
2,A,30,10,2_A_64,0.9413067697051096,0.8429069303493519,Max
1,G,30,10,2_G_32,0.4951837232595319,0.555611453411538,Min
2,G,30,10,2_G_64,0.6393442694703455,0.555611453411538,Max
0,T,30,10,2_T_8,0.4354304644791753,0.631559258857346,Min
2,T,30,10,2_T_64,0.8448844980210094,0.631559258857346,Max
2,AD,30,10,2_AD_64,0.8901472247752957,0.9245912898672444,Min
1,AD,30,10,2_AD_32,0.9420682133047288,0.9245912898672444,Max
