,letter,input_days,output_days,experiment_name,weighted_metric,mean_metric,min_or_max
1,C,30,10,1_C_32,0.0006624620307571666,0.0007765076922995371,Min
2,C,30,10,1_C_64,0.000975121507913,0.0007765076922995371,Max
2,F,30,10,1_F_64,0.00033285224425425334,0.0009694980833080115,Min
0,F,30,10,1_F_8,0.0022317832093297816,0.0009694980833080115,Max
1,A,30,10,1_A_32,0.000420057185693,0.000536077587943,Min
0,A,30,10,1_A_8,0.0007539584185,0.000536077587943,Max
2,G,30,10,1_G_64,0.0003339904942549765,0.0004409348572759579,Min
0,G,30,10,1_G_8,0.0006049869116395713,0.0004409348572759579,Max
2,T,30,10,1_T_64,0.0003474951663520187,0.000443978109008943,Min
0,T,30,10,1_T_8,0.0006325786234810947,0.000443978109008943,Max
2,AD,30,10,1_AD_64,0.00042866446892730886,0.0005124298040755093,Min
0,AD,30,10,1_AD_8,0.0006254410836845636,0.0005124298040755093,Max
