,SNUADC/ECG_II,SNUADC/ECG_V5,SNUADC/ART,SNUADC/FEM,SNUADC/CVP,BIS/BIS,BIS/EEG1_WAV,BIS/EEG2_WAV,BIS/EMG,BIS/SEF,BIS/SQI,BIS/SR,BIS/TOTPOW,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,Solar8000/VENT_MAWP,Solar8000/VENT_RR,Solar8000/VENT_TV,Solar8000/VENT_PPLAT,Solar8000/VENT_PIP,Solar8000/VENT_MV,Solar8000/VENT_INSP_TM,Solar8000/BT
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,
3,-0.0189748,-1.2138,32.6635,274.59,275.578,0.0,-99.7,-79.1,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
4,-0.107846,-0.344836,32.6635,274.59,275.578,0.0,-122.95,-112.35,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
5,0.0600217,0.119269,31.676,274.59,275.578,0.0,-108.35,-77.6,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
6,-0.186843,0.0402726,31.676,274.59,275.578,0.0,-81.9,-69.45,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
7,-0.127595,0.0501471,31.676,273.603,275.578,0.0,-55.7,-48.25,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
8,-0.147344,0.0896454,32.6635,274.59,276.565,0.0,-35.85,-36.2,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
9,-0.0880968,0.0797709,32.6635,273.603,275.578,0.0,-33.25,-36.05,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
10,-0.0189748,0.0797709,32.6635,273.603,275.578,0.0,-14.15,-19.75,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
11,-0.00910027,0.0501471,31.676,273.603,275.578,0.0,-56.2,-54.35,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
12,-0.0782223,0.030398,32.6635,274.59,275.578,0.0,11.35,-4.0,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
13,-0.0584731,0.109395,32.6635,274.59,275.578,0.0,73.2,42.7,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
14,-0.423832,0.030398,31.676,274.59,275.578,0.0,52.3,44.7,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
15,-0.0880968,0.000774297,32.6635,274.59,275.578,0.0,8.3,-14.4,,,0.0,,,0.0,0.0,5.0,0.0,0.0,,,,,,,,
