,SNUADC/ECG_II,SNUADC/ECG_V5,SNUADC/ART,SNUADC/FEM,SNUADC/CVP,BIS/BIS,BIS/EEG1_WAV,BIS/EEG2_WAV,BIS/EMG,BIS/SEF,BIS/SQI,BIS/SR,BIS/TOTPOW,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,Solar8000/VENT_MAWP,Solar8000/VENT_RR,Solar8000/VENT_TV,Solar8000/VENT_PPLAT,Solar8000/VENT_PIP,Solar8000/VENT_MV,Solar8000/VENT_INSP_TM,Solar8000/BT
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.0,18.9,19.8,,,0.0,,,,,,,,,,,,,,,
4,-0.038724,-0.0485986,-15.7219,33.651,-25.5965,0.0,19.4,20.05,,,0.0,,,,,,,,,,,,,,,
5,-0.117721,-0.127595,-14.7344,32.6635,-24.609,0.0,19.25,19.95,,,0.0,,,,,,,,0.0,,,,,,,
6,-0.0485986,-0.0485986,-14.7344,32.6635,-25.5965,0.0,19.1,19.8,,,0.0,,,,,,,,,,,,,,,
7,-0.196717,-0.206592,-14.7344,32.6635,-25.5965,0.0,19.55,20.3,,,0.0,,,,,,,,0.0,,,,,,,
8,0.326635,0.751242,-14.7344,33.651,-23.6216,0.0,19.2,20.2,,,0.0,,,,,,,,,,,,,,,
9,-0.0979714,-0.107846,-14.7344,33.651,-23.6216,0.0,18.75,19.75,,,0.0,,,,,,,,0.0,,,,,,,
10,3.47662,0.237764,-14.7344,32.6635,-25.5965,0.0,18.7,20.45,,,0.0,,,,,,,,,,,,,,,
11,4.47395,1.6202,-16.7093,32.6635,-24.609,0.0,19.25,18.95,,,0.0,,,,,,,,0.0,,,,,,,
12,0.198266,1.57083,-15.7219,31.676,-26.5839,0.0,19.1,19.95,,,0.0,,,,,,,,,,,,,,,
13,-0.0683477,-0.542327,-13.747,33.651,-23.6216,0.0,19.4,19.6,,,0.0,,,,,,,,0.0,,,,,,,
14,2.3213,3.82223,-15.7219,32.6635,-25.5965,0.0,18.95,19.15,,,0.0,,,,,,,,,,,,,,,
15,0.257513,5.12568,-14.7344,32.6635,-25.5965,0.0,19.25,19.65,,,0.0,,,,,,,,0.0,,,,,,,
16,0.247639,-0.117721,-13.747,30.6886,-25.5965,0.0,19.05,19.4,,,0.0,,,,,,,,,,,,,,,
17,5.14543,0.20814,-12.7595,34.6384,-24.609,0.0,19.45,19.4,,,0.0,,,,,,,,0.0,,,,,,,
18,0.89936,0.385883,-14.7344,32.6635,-25.5965,0.0,18.85,19.5,,,0.0,,,,,,,,,,,,,,,
